Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8239,0,0,0,182,1022,583,606,583
4,0,0,8225,0,0,0,182,1023,583,607,583
8,0,0,8225,0,-1,0,182,1023,586,609,586
12,0,0,8142,0,-1,0,182,1023,586,609,586
16,0,0,8142,0,-1,0,182,1023,587,609,587
20,0,0,8142,0,-1,0,182,1022,587,609,587
24,0,0,8128,0,-1,0,182,1022,588,609,588
28,0,0,8128,0,-1,1,182,1023,588,607,588
32,0,0,8156,0,-2,1,182,1023,588,606,588
36,0,0,8156,0,-2,2,182,1023,587,606,587
40,0,0,8156,0,-3,2,182,1023,587,609,587
44,0,0,8156,0,-3,2,182,1022,585,614,585
48,0,0,8156,0,-3,3,182,1023,584,622,584
52,0,0,8156,0,-4,3,182,1023,583,624,583
56,0,0,8156,0,-4,4,182,1022,582,624,582
60,0,0,8156,0,-4,4,182,1023,579,626,579
64,0,0,8156,0,-5,5,182,1023,577,621,577
68,0,0,8156,0,-5,6,182,1023,576,611,576
72,0,0,8170,0,-5,6,182,1023,575,597,575
76,0,0,8170,0,-5,7,182,1019,575,591,575
80,0,0,8170,0,-6,8,182,1023,575,584,575
84,0,0,8170,0,-6,9,182,1022,575,576,575
88,0,0,8170,0,-6,9,182,1023,574,575,574
92,0,0,8183,0,-7,10,182,1023,574,576,574
96,0,0,8183,0,-7,11,182,1023,571,578,571
100,0,0,8183,0,-7,11,182,1022,570,587,570
104,0,0,8128,0,-8,12,182,1023,569,591,569
108,0,0,8128,0,-8,12,1023,1023,568,593,568
112,0,0,8170,0,-9,13,1023,1023,566,605,566
116,0,0,8170,0,-9,13,1023,1023,566,610,566
120,0,0,8170,0,-10,14,1023,1023,567,615,567
124,0,0,8156,0,-11,14,1023,1023,566,621,566
128,0,0,8156,0,-11,15,1023,1022,566,621,566
132,0,0,8156,0,-12,15,1023,1023,566,620,566
136,0,0,8156,0,-13,16,1023,1022,566,619,566
140,0,0,8156,0,-13,16,1023,1023,565,614,565
144,0,0,8142,0,-14,17,1023,1020,564,611,564
148,0,0,8142,0,-15,18,1023,1023,564,605,564
152,0,0,8170,0,-15,18,1023,1023,563,601,563
156,0,0,8170,0,-16,19,1023,1022,563,598,563
160,0,0,8170,0,-17,19,1023,1023,562,595,562
164,0,0,8156,0,-17,20,1023,1023,562,595,562
168,0,0,8156,0,-18,20,1023,1023,562,597,562
172,0,0,8170,0,-19,21,1023,1023,560,598,560
176,0,0,8170,0,-20,21,1023,1023,560,606,560
