Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8156,0,0,0,182,1023,566,603,566
4,0,0,8156,0,0,0,182,1023,566,604,566
8,0,0,8156,0,0,0,182,1023,567,604,567
12,0,0,8156,0,-1,0,182,1021,568,603,568
16,0,0,8059,0,-1,1,182,1020,568,602,568
20,0,0,8059,0,-1,1,182,1023,567,603,567
24,0,0,8087,0,-1,1,182,1023,567,597,567
28,0,0,8087,0,-2,1,182,1023,566,596,566
32,0,0,8087,0,-2,1,182,1023,564,594,564
36,0,0,8087,0,-2,1,182,1023,563,592,563
40,0,0,8087,0,-3,2,182,1023,563,592,563
44,0,0,8087,0,-4,2,182,1023,563,592,563
48,0,0,8087,0,-4,2,182,1023,562,594,562
52,0,0,8087,0,-5,2,182,1022,562,594,562
56,0,0,8073,0,-6,2,182,1022,562,598,562
60,0,0,8073,0,-6,2,182,1023,561,607,561
64,0,0,8059,0,-8,2,182,1023,561,609,561
68,0,0,8059,0,-8,2,182,1023,560,615,560
72,0,0,8059,0,-9,3,182,1023,559,625,559
76,0,0,8087,0,-10,3,182,1023,558,654,558
80,0,0,8087,0,-11,2,182,1023,557,665,557
84,0,0,7962,0,-12,2,182,1023,556,670,556
88,0,0,7962,0,-12,2,182,1023,555,671,555
92,0,0,7962,0,-13,2,182,1023,555,662,555
96,0,0,7934,0,-13,2,182,1023,555,657,555
100,0,0,7934,0,-13,2,182,1023,554,643,554
104,0,0,7920,0,-13,2,183,1023,553,628,553
108,0,0,7920,0,-13,2,1023,1022,552,623,552
112,0,0,7920,0,-12,2,1023,1023,552,618,552
116,0,0,8059,0,-12,2,1023,1023,551,620,551
120,0,0,8059,0,-11,1,1023,1023,551,623,551
124,0,0,8045,0,-11,1,1023,1022,551,619,551
128,0,0,8045,0,-10,1,1023,1023,551,621,551
132,0,0,8045,0,-9,1,1023,1023,551,621,551
136,0,0,8073,0,-9,1,1023,1023,551,615,551
140,0,0,8073,0,-8,1,1023,1023,551,612,551
144,0,0,8003,0,-7,1,1023,1023,553,605,553
148,0,0,8003,0,-6,1,1023,1022,553,593,553
152,0,0,8003,0,-5,1,1023,1023,553,574,553
156,0,0,8045,0,-4,1,1023,1023,554,566,554
160,0,0,8045,0,-3,1,1023,1023,554,569,554
164,0,0,8100,0,-2,1,1023,1023,555,574,555
168,0,0,8100,0,-2,1,1023,1023,556,572,556
172,0,0,8100,0,-1,1,1023,1023,555,577,555
176,0,0,8128,0,0,1,1023,1020,558,580,558
180,0,0,8128,0,1,1,1023,1023,558,580,558
184,0,0,8114,0,2,0,1023,1022,559,582,559
188,0,0,8114,0,3,0,1023,1023,560,583,560
192,0,0,8114,0,4,-1,1023,1023,560,583,560
196,0,0,8114,0,4,-1,1022,1023,560,585,560
200,0,0,8114,0,5,-1,1023,1022,560,585,560
204,0,0,7976,0,5,-1,1023,1023,561,590,561
208,0,0,7976,0,6,-2,1023,1023,562,595,562
212,0,0,7976,0,6,-2,1023,1023,562,604,562
216,0,0,8017,0,6,-2,1023,1023,563,606,563
220,0,0,8017,0,6,-2,1023,1023,563,608,563
224,0,0,8073,0,6,-2,1023,1023,563,609,563
228,0,0,8073,0,6,-2,1023,1023,563,614,563
232,0,0,8073,0,6,-1,1023,1023,563,615,563
236,0,0,8073,0,6,-1,1023,1022,563,616,563
240,0,0,8073,0,5,-1,1023,1023,562,621,562
244,0,0,8100,0,5,-1,1023,1023,562,622,562
248,0,0,8100,0,4,0,1023,1023,561,622,561
252,0,0,8100,0,4,0,1023,1023,562,618,562
256,0,0,8100,0,4,1,1023,1023,562,618,562
260,0,0,8100,0,3,1,1023,1023,561,620,561
264,0,0,8100,0,3,2,1023,1023,561,621,561
268,0,0,8100,0,2,2,1023,1022,561,621,561
272,0,0,8100,0,2,3,1023,1023,561,620,561
276,0,0,8100,0,2,3,1023,1023,560,618,560
280,0,0,8100,0,1,4,1023,1023,560,614,560
284,0,0,8100,0,1,5,1023,1023,560,604,560
288,0,0,8100,0,0,5,1023,1023,559,585,559
292,0,0,8100,0,0,6,1023,1023,559,580,559
296,0,0,8128,0,0,7,1023,1022,559,583,559
300,0,0,8128,0,-1,7,1023,1023,558,592,558
304,0,0,7976,0,-1,7,1023,1023,558,604,558
308,0,0,7976,0,-1,8,1023,1018,557,608,557
312,0,0,7976,0,-1,8,1023,1023,556,618,556
316,0,0,8045,0,-1,7,1023,1023,556,633,556
320,0,0,8045,0,-1,7,1023,1023,555,636,555
324,0,0,8045,0,-1,7,1023,1023,555,637,555
328,0,0,8045,0,0,7,1023,1023,553,639,553
332,0,0,8045,0,0,7,1023,1023,553,644,553
336,0,0,8059,0,0,7,1023,1023,553,647,553
340,0,0,8059,0,1,7,1023,1023,551,645,551
344,0,0,7976,0,2,7,1023,1023,551,640,551
348,0,0,7976,0,2,7,1023,1023,551,632,551
352,0,0,7976,0,3,7,1023,1023,550,609,550
356,0,0,7893,0,4,7,1023,1023,551,598,551
360,0,0,7893,0,4,7,1023,1023,550,589,550
364,0,0,8059,0,6,7,1023,1023,552,575,552
368,0,0,8059,0,6,7,1023,1023,552,575,552
372,0,0,8059,0,7,7,1023,1023,553,576,553
376,0,0,8114,0,8,7,1023,1023,553,580,553
380,0,0,8114,0,9,7,1023,1023,554,585,554
384,0,0,8128,0,10,6,1023,1022,555,589,555
388,0,0,8128,0,10,6,1023,1023,557,591,557
392,0,0,8128,0,11,6,1023,1023,557,595,557
396,0,0,8114,0,12,5,1023,1022,558,596,558
400,0,0,8114,0,13,5,1023,1023,557,596,557
404,0,0,8114,0,13,5,1023,1023,558,595,558
408,0,0,8114,0,14,4,1023,1023,559,598,559
412,0,0,8114,0,15,3,1023,1023,559,601,559
416,0,0,8128,0,16,3,1023,1023,559,607,559
420,0,0,8128,0,16,2,1023,1023,559,610,559
424,0,0,8142,0,17,2,1023,1023,560,614,560
428,0,0,8142,0,18,1,1023,1022,561,627,561
432,0,0,8142,0,18,1,1023,1023,560,636,560
436,0,0,8031,0,19,0,1023,1022,560,642,560
440,0,0,8031,0,19,0,1023,1023,561,644,561
444,0,0,7976,0,20,0,1023,1023,561,639,561
448,0,0,7976,0,20,0,1023,1023,562,633,562
452,0,0,7976,0,20,1,1023,1023,561,627,561
456,0,0,7948,0,20,1,1023,1022,561,609,561
460,0,0,7948,0,21,1,1023,1022,561,605,561
464,0,0,8045,0,21,2,1023,1023,562,604,562
468,0,0,8045,0,21,3,1023,1023,562,609,562
472,0,0,8045,0,21,3,1023,1023,563,613,563
476,0,0,8100,0,21,4,1023,1022,562,616,562
480,0,0,8100,0,21,5,1023,1023,562,618,562
484,0,0,8073,0,21,6,1023,1023,562,622,562
488,0,0,8073,0,21,7,1023,1022,562,627,562
492,0,0,8073,0,22,8,1023,1023,561,635,561
496,0,0,8031,0,22,9,1023,1023,561,632,561
500,0,0,8031,0,22,10,1023,1023,561,617,561
504,0,0,7879,0,22,11,1023,1023,561,589,561
508,0,0,7879,0,22,12,1023,1022,560,579,560
512,0,0,7879,0,22,13,1023,1023,560,573,560
516,0,0,8100,0,22,15,1023,1023,560,568,560
520,0,0,8100,0,23,16,1023,1023,560,568,560
524,0,0,8142,0,23,17,1023,1023,559,569,559
528,0,0,8142,0,23,18,1023,1023,559,574,559
532,0,0,8142,0,23,19,1023,1023,558,590,558
536,0,0,8045,0,23,20,1023,1018,558,596,558
540,0,0,8045,0,23,21,1023,1023,557,599,557
544,0,0,8059,0,23,21,1023,1022,557,607,557
548,0,0,8059,0,24,22,1023,1022,556,608,556
552,0,0,8059,0,24,23,1023,1023,555,608,555
556,0,0,8059,0,24,23,1023,1023,554,613,554
560,0,0,8059,0,25,24,1023,1023,553,614,553
564,0,0,8031,0,25,24,1023,1023,553,614,553
568,0,0,8031,0,26,25,1023,1023,554,610,554
572,0,0,8031,0,26,25,1023,1023,553,608,553
576,0,0,8031,0,27,25,1023,1023,553,606,553
580,0,0,8031,0,28,25,1023,1023,554,605,554
584,0,0,8031,0,28,25,1023,1023,553,598,553
588,0,0,8031,0,29,26,1023,1023,553,598,553
592,0,0,8031,0,30,26,1023,1023,553,598,553
596,0,0,8073,0,31,26,1023,1023,555,600,555
600,0,0,8073,0,32,26,1023,1023,555,605,555
604,0,0,8100,0,33,26,1023,1023,556,609,556
608,0,0,8100,0,34,26,1023,1023,556,614,556
612,0,0,8100,0,35,25,1023,1023,556,617,556
616,0,0,8087,0,36,25,1023,1023,557,618,557
620,0,0,8087,0,37,25,1023,1023,557,611,557
624,0,0,8100,0,38,25,1023,1023,558,609,558
628,0,0,8100,0,39,25,1023,1022,559,607,559
632,0,0,8100,0,40,25,1023,1023,560,602,560
636,0,0,8087,0,41,25,1023,1019,560,602,560
640,0,0,8087,0,42,25,1023,1023,561,602,561
644,0,0,7990,0,43,25,1023,1023,561,603,561
648,0,0,7990,0,44,25,1023,1023,562,605,562
652,0,0,7990,0,45,26,1023,1022,562,607,562
656,0,0,8031,0,46,26,1023,1023,564,612,564
660,0,0,8031,0,46,27,1023,1023,565,616,565
664,0,0,8031,0,47,27,1023,1023,565,618,565
668,0,0,8031,0,47,28,1023,1023,565,620,565
672,0,0,8031,0,48,28,1023,1023,565,611,565
676,0,0,8003,0,48,29,1023,1023,565,605,565
680,0,0,8003,0,49,30,1023,1023,565,597,565
684,0,0,8045,0,49,31,1023,1023,565,586,565
688,0,0,8045,0,50,31,1023,1023,566,588,566
692,0,0,8045,0,50,32,1023,1023,566,586,566
696,0,0,8100,0,50,33,1023,1022,566,589,566
700,0,0,8100,0,50,34,1023,1023,565,596,565
704,0,0,8100,0,51,35,1023,1023,565,601,565
708,0,0,8100,0,51,36,1023,1023,565,612,565
712,0,0,8100,0,51,37,1023,1023,565,620,565
716,0,0,8059,0,51,38,1023,1023,565,625,565
720,0,0,8059,0,51,39,1023,1023,564,630,564
724,0,0,8031,0,51,40,1023,1023,563,628,563
728,0,0,8031,0,51,41,1023,1023,564,623,564
732,0,0,8031,0,51,42,1023,1023,562,618,562
736,0,0,7962,0,51,43,1023,1023,562,606,562
740,0,0,7962,0,51,45,1023,1023,561,601,561
744,0,0,8087,0,51,46,1023,1023,561,599,561
748,0,0,8087,0,52,47,1023,1023,560,602,560
752,0,0,8087,0,52,49,1023,1023,559,604,559
756,0,0,8114,0,52,50,1023,1023,559,607,559
760,0,0,8114,0,52,51,1023,1023,558,608,558
764,0,0,7976,0,52,52,1023,1022,557,606,557
768,0,0,7976,0,53,53,1023,1023,557,606,557
772,0,0,7976,0,53,54,1023,1023,556,607,556
776,0,0,7990,0,54,55,1023,1023,556,609,556
780,0,0,7990,0,55,56,1023,1023,555,610,555
784,0,0,8003,0,56,57,1023,1022,555,606,555
788,0,0,8003,0,56,57,1022,1022,554,603,554
792,0,0,8003,0,57,58,1023,1023,554,601,554
796,0,0,7962,0,58,59,1023,1022,554,600,554
800,0,0,7962,0,59,59,1023,1023,554,594,554
804,0,0,8045,0,60,60,1023,1023,554,594,554
808,0,0,8045,0,61,61,1023,1022,554,596,554
812,0,0,8045,0,62,61,1023,1023,555,599,555
816,0,0,8059,0,63,61,1023,1023,555,602,555
820,0,0,8059,0,64,62,1023,1023,555,604,555
824,0,0,8087,0,66,62,1023,1023,557,609,557
828,0,0,8087,0,67,63,1023,1023,557,609,557
832,0,0,8087,0,68,63,1023,1023,557,610,557
836,0,0,8045,0,70,63,1023,1023,557,612,557
840,0,0,8045,0,71,63,1023,1023,557,612,557
844,0,0,8045,0,72,64,1023,1023,558,610,558
848,0,0,8045,0,74,64,1023,1023,559,608,559
852,0,0,8045,0,75,64,1023,1023,559,607,559
856,0,0,8031,0,77,65,1023,1023,561,605,561
860,0,0,8031,0,78,65,1023,1023,562,603,562
864,0,0,8059,0,80,65,1023,1023,562,600,562
868,0,0,8059,0,81,66,1023,1023,563,598,563
872,0,0,8059,0,83,66,1023,1023,563,598,563
876,0,0,7948,0,84,67,1023,1023,566,595,566
880,0,0,7948,0,85,67,1023,1023,566,595,566
884,0,0,8003,0,86,68,1023,1023,566,594,566
888,0,0,8003,0,88,69,1023,1023,569,590,569
892,0,0,8003,0,88,70,1023,1023,570,589,570
896,0,0,8003,0,89,71,1023,1022,571,585,571
900,0,0,8003,0,90,72,1023,1023,572,583,572
904,0,0,8073,0,91,73,1023,1023,572,578,572
908,0,0,8073,0,92,74,1023,1023,573,575,573
912,0,0,8073,0,92,75,1023,1023,574,583,574
916,0,0,8100,0,93,76,1023,1023,574,587,574
920,0,0,8100,0,94,77,1023,1023,576,590,576
924,0,0,8114,0,94,78,1023,1023,575,594,575
928,0,0,8114,0,94,79,1023,1022,575,605,575
932,0,0,8114,0,95,80,1023,1023,575,609,575
936,0,0,8087,0,95,81,1023,1022,575,613,575
940,0,0,8087,0,96,83,1023,1023,575,623,575
944,0,0,8100,0,96,84,1023,1023,575,626,575
948,0,0,8100,0,96,85,1023,1023,575,629,575
952,0,0,8100,0,96,86,1023,1023,573,635,573
956,0,0,7990,0,97,87,1023,1023,573,633,573
960,0,0,7990,0,97,89,1023,1023,574,629,574
964,0,0,7948,0,97,90,1023,1023,572,626,572
968,0,0,7948,0,98,91,1023,1023,572,622,572
972,0,0,7948,0,98,93,1023,1022,571,618,571
976,0,0,7893,0,99,95,1023,1023,570,617,570
980,0,0,7893,0,100,96,1023,1023,569,614,569
984,0,0,7976,0,100,98,1023,1023,569,610,569
988,0,0,7976,0,101,99,1023,1022,567,610,567
992,0,0,7976,0,101,101,1023,1023,566,608,566
996,0,0,7976,0,102,103,1023,1023,567,603,567
1000,0,0,7976,0,102,105,1023,1023,565,597,565
1004,0,0,8003,0,103,107,1023,1023,565,583,565
1008,0,0,8003,0,104,108,1023,1023,565,580,565
1012,0,0,8003,0,104,110,1023,1023,565,578,565
1016,0,0,8073,0,105,112,1023,1023,565,573,565
1020,0,0,8073,0,106,114,1023,1019,565,575,565
