Time,Data1,Data2,Battery,Motor Rev A,Motor Rev B,Motor Rev C,ADC S1,ADC S2,ADC S3,ADC S4,I2C
0,0,0,8017,0,0,0,182,1023,641,604,0
4,0,0,8017,0,0,0,182,1023,641,604,0
8,0,0,8045,0,0,0,182,1023,642,603,0
12,0,0,8045,0,0,0,182,1023,643,603,0
16,0,0,7450,0,-1,0,182,1023,644,597,0
20,0,0,7450,0,-2,1,182,1023,643,593,0
24,0,0,7450,0,-2,2,182,1023,644,594,0
28,0,0,7477,0,-3,2,182,1022,643,593,0
32,0,0,7477,0,-4,3,182,1020,643,595,0
36,0,0,7616,0,-5,4,182,1023,643,598,0
40,0,0,7616,0,-6,5,182,1022,642,598,0
44,0,0,7616,0,-8,6,182,1023,641,598,0
48,0,0,7685,0,-9,6,182,1023,640,600,0
52,0,0,7685,0,-10,7,184,1023,633,606,0
56,0,0,8003,0,-12,8,182,1023,630,613,0
60,0,0,8003,0,-13,8,182,1023,626,614,0
64,0,0,8003,0,-14,8,182,1023,623,618,0
68,0,0,8003,0,-15,9,183,1023,622,626,0
72,0,0,8003,0,-16,9,1023,1023,622,628,0
76,0,0,8031,0,-17,9,1023,1023,618,629,0
80,0,0,8031,0,-18,9,1023,1023,617,642,0
84,0,0,8031,0,-19,9,1023,1023,616,643,0
88,0,0,7990,0,-20,9,1023,1020,616,646,0
92,0,0,7990,0,-20,9,1023,1023,613,659,0
96,0,0,7976,0,-21,9,1023,1023,612,663,0
100,0,0,7976,0,-22,10,1023,1023,611,670,0
104,0,0,7976,0,-22,10,1023,1022,608,683,0
108,0,0,7879,0,-22,10,1023,1022,609,685,0
112,0,0,7879,0,-23,10,1023,1023,609,677,0
116,0,0,7450,0,-23,11,1023,1023,607,635,0
120,0,0,7450,0,-23,12,1023,1022,606,618,0
124,0,0,7450,0,-23,12,1023,1023,603,604,0
128,0,0,7713,0,-23,13,1023,1023,598,570,0
132,0,0,7713,0,-22,14,1023,1023,595,566,0
136,0,0,7948,0,-22,14,1023,1023,593,560,0
